City_ID,City,Country,Max Temp,Latitude,Longitude,Hotel Name
5,Sobral,BR,83.46,-3.6861,-40.3497,Hotel Vitória
16,Laurel,US,89.02,39.0993,-76.8483,Quality Inn & Suites
19,Atuona,PF,80.11,-9.8,-139.0333,Pearl Resort
20,Rikitea,PF,76.6,-23.1203,-134.9692,Chez Bianca & Benoit
22,Kapaa,US,82.72,22.0752,-159.319,Pono Kai Resort
23,Sinnamary,GF,81.75,5.3833,-52.95,Hôtel du fleuve
25,Half Moon Bay,US,77.05,37.4636,-122.4286,Half Moon Bay Inn
32,Puerto Ayora,EC,84.16,-0.7393,-90.3518,Hostal La Mirada De Solitario George
35,Vila Velha,BR,76.95,-20.3297,-40.2925,Hotel Prainha
37,Jalu,LY,72.34,29.0331,21.5482,فندق جالو السياحي
38,Rikitea,PF,76.6,-23.1203,-134.9692,Chez Bianca & Benoit
39,Oxbow,CA,78.64,49.2333,-102.1676,Bow Manor Motor Hotel
45,Rikitea,PF,76.6,-23.1203,-134.9692,Chez Bianca & Benoit
46,Rikitea,PF,76.6,-23.1203,-134.9692,Chez Bianca & Benoit
48,Laguna,US,81.34,38.421,-121.4238,Holiday Inn Express & Suites
49,Hamilton,US,89.78,39.1834,-84.5333,North Vista Manor
58,Atuona,PF,80.11,-9.8,-139.0333,Pearl Resort
59,Bosaso,SO,88.63,11.2842,49.1816,Bosaso hotel
60,Port Moresby,PG,74.62,-9.4431,147.1797,The Sanctuary Hotel and Spa
61,Soledad,CO,85.41,10.9184,-74.7646,Hotel Señora Bucaramanga
66,Rikitea,PF,76.6,-23.1203,-134.9692,Chez Bianca & Benoit
72,Jamestown,US,86.52,42.097,-79.2353,DoubleTree Jamestown
81,Billings,US,80.37,45.7833,-108.5007,Best Western Plus Clocktower Inn
83,Rikitea,PF,76.6,-23.1203,-134.9692,Chez Bianca & Benoit
91,Faanui,PF,76.03,-16.4833,-151.75,Oa Oa Lodge
92,Sechura,PE,83.73,-5.5569,-80.8222,Hospedaje Claritza
96,Atuona,PF,80.11,-9.8,-139.0333,Pearl Resort
100,Sibenik,HR,71.26,43.7272,15.9058,D-Resort Sibenik
101,Vaini,TO,73.56,-21.2,-175.2,Keleti International Resort
102,Saint-Philippe,RE,71.19,-21.3585,55.7679,Le Baril
103,Along,IN,74.25,28.1667,94.7667,Hotel Toshi Palace
107,Rikitea,PF,76.6,-23.1203,-134.9692,Chez Bianca & Benoit
112,Fengxian,CN,72.03,34.7039,116.5872,北海宾馆
113,Port Blair,IN,80.64,11.6667,92.75,Andaman Ocean Breeze
114,Mogadishu,SO,80.29,2.0371,45.3438,Villa Rays Restaurant & Hotel
119,Namatanai,PG,79.45,-3.6667,152.4333,Namatanai Hotel
126,Noumea,NC,73.0,-22.2763,166.4572,Hotel Gondwana
133,Pisco,PE,71.65,-13.7,-76.2167,La Portada
136,Puerto Ayora,EC,84.16,-0.7393,-90.3518,Hostal La Mirada De Solitario George
137,Hilo,US,76.62,19.7297,-155.09,Dolphin Bay Hotel
141,Padang,ID,77.7,-0.9492,100.3543,losmen Surya
143,Saint-Philippe,RE,71.19,-21.3585,55.7679,Le Baril
144,Avarua,CK,75.25,-21.2078,-159.775,Paradise Inn
146,Kapaa,US,82.72,22.0752,-159.319,Pono Kai Resort
149,Hithadhoo,MV,81.91,-0.6,73.0833,Pebbles Inn
158,Puerto Ayora,EC,84.16,-0.7393,-90.3518,Hostal La Mirada De Solitario George
159,Coxim,BR,81.19,-18.5067,-54.76,Avendita
160,Roma,US,89.82,43.2128,-75.4557,Wingate by Wyndham Rome
177,Hoa Binh,VN,81.97,20.8133,105.3383,Hải Dương
178,Kahului,US,82.42,20.8947,-156.47,Maui Seaside Hotel
179,Hilo,US,76.62,19.7297,-155.09,Dolphin Bay Hotel
183,Hithadhoo,MV,81.91,-0.6,73.0833,Pebbles Inn
184,Rikitea,PF,76.6,-23.1203,-134.9692,Chez Bianca & Benoit
185,Vaini,TO,73.56,-21.2,-175.2,Keleti International Resort
187,Bairiki,KI,86.0,1.3292,172.9752,Marry's Motel
188,Mahebourg,MU,73.69,-20.4081,57.7,Grand Bel Air
195,Georgetown,MY,84.13,5.4112,100.3354,Page 63 hostel
196,Georgetown,MY,84.13,5.4112,100.3354,Page 63 hostel
198,Rikitea,PF,76.6,-23.1203,-134.9692,Chez Bianca & Benoit
200,Vaini,TO,73.56,-21.2,-175.2,Keleti International Resort
204,Saint-Philippe,RE,71.19,-21.3585,55.7679,Le Baril
209,Avarua,CK,75.25,-21.2078,-159.775,Paradise Inn
210,Avarua,CK,75.25,-21.2078,-159.775,Paradise Inn
