City_ID,City,Country,Max Temp,Latitude,Longitude,Hotel Name
1,Bambous Virieux,MU,75.45,-20.3428,57.7575,No hotel found
2,Faya,SA,70.32,18.3851,42.4509,No hotel found
3,Castro,BR,72.52,-24.7911,-50.0119,Hotel Central Palace
5,Albany,US,72.18,42.6001,-73.9662,No hotel found
8,Orbetello,IT,73.35,42.4408,11.2196,B&B La Pineta
10,Bethel,US,75.22,41.3712,-73.414,Hampton Inn Danbury
12,Atuona,PF,80.11,-9.8,-139.0333,Pearl Resort
13,Avera,US,86.09,33.194,-82.5271,No hotel found
15,Tripoli,LY,77.95,32.8752,13.1875,الاصيل
17,Koppa,IN,71.71,13.5304,75.3633,No hotel found
18,Kavieng,PG,81.21,-2.5744,150.7967,Kavieng Hotel
24,Bordighera,IT,76.33,43.7806,7.6645,No hotel found
28,Am Timan,TD,85.95,11.0297,20.2827,Nimla
30,Lodja,CD,77.74,-3.4833,23.4333,No hotel found
31,Rikitea,PF,71.08,-23.1203,-134.9692,Chez Bianca & Benoit
34,Naze,JP,76.12,28.3667,129.4833,ビジネス旅館畠山
38,Vanimo,PG,78.37,-2.6741,141.3028,CBC Guesthouse
39,Mahebourg,MU,75.49,-20.4081,57.7,Grand Bel Air
40,Tamworth,GB,82.72,52.634,-1.6959,The Colin Grazier Hotel & UBar
41,Vacaria,BR,74.68,-28.5122,-50.9339,Pampa
42,Thinadhoo,MV,83.84,0.5333,72.9333,No hotel found
48,Tchibanga,GA,75.65,-2.85,11.0333,No hotel found
50,Bandarbeyla,SO,80.06,9.4942,50.8122,No hotel found
52,Saint-Philippe,RE,74.79,-21.3585,55.7679,Le Baril
55,San Vicente,AR,76.15,-26.6167,-54.1333,Los Lapachos
58,Thompson,CA,71.19,55.7435,-97.8558,Thompson Inn
60,Yumen,CN,76.12,40.2833,97.2,No hotel found
61,Ponta Do Sol,PT,76.71,32.6667,-17.1,Estalagem Ponta do Sol
63,Atambua,ID,70.52,-9.1061,124.8925,Hotel Matahari
70,Gazli,UZ,87.51,40.1333,63.45,No hotel found
72,Bhubaneswar,IN,84.42,20.2333,85.8333,Airport Park Villa
75,Namatanai,PG,78.53,-3.6667,152.4333,Namatanai Hotel
77,Kapaa,US,76.19,22.0752,-159.319,Pono Kai Resort
79,Kieta,PG,78.33,-6.2167,155.6333,No hotel found
80,Broome,US,72.7,42.2506,-75.833,No hotel found
81,Georgetown,MY,84.13,5.4112,100.3354,Page 63 hostel
84,Sao Filipe,CV,78.82,14.8961,-24.4956,Bela Vista
85,Port Blair,IN,81.77,11.6667,92.75,Andaman Ocean Breeze
87,Katsuura,JP,70.11,35.1333,140.3,潮騒の宿
88,Trapani,IT,75.27,37.8333,12.6667,No hotel found
96,Touros,BR,84.52,-5.1989,-35.4608,Pousada Atlântico
99,San Cristobal,VE,87.98,7.7669,-72.225,Terra Sur
104,Labuhan,ID,77.77,-6.8844,112.2051,No hotel found
106,Grand Gaube,MU,75.6,-20.0064,57.6608,Coco Villa
108,Nabire,ID,76.37,-3.3667,135.4833,Hotel Anggrek
109,Kirakira,SB,78.35,-10.4544,161.9205,No hotel found
110,Presidencia Roque Saenz Pena,AR,85.5,-26.7852,-60.4388,Hotel Presidente
