City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
Fairbanks,US,64.8378,-147.7164,63.09,59,0,6.91,clear sky,2023-06-10 17:10:25
Bambous Virieux,MU,-20.3428,57.7575,75.45,73,20,9.22,few clouds,2023-06-10 17:12:51
Faya,SA,18.3851,42.4509,70.32,59,90,0.85,overcast clouds,2023-06-10 17:12:24
Castro,BR,-24.7911,-50.0119,72.52,49,0,9.48,clear sky,2023-06-10 17:12:52
East London,ZA,-33.0153,27.9116,54.54,82,0,5.75,clear sky,2023-06-10 17:12:52
Albany,US,42.6001,-73.9662,72.18,57,28,7.4,scattered clouds,2023-06-10 17:12:50
Mandiana,GN,10.6333,-8.6833,91.13,43,43,3.13,light rain,2023-06-10 17:12:52
Constitucion,CL,-35.3333,-72.4167,55.49,51,1,15.26,clear sky,2023-06-10 17:12:52
Orbetello,IT,42.4408,11.2196,73.35,72,5,6.44,clear sky,2023-06-10 17:11:31
Flinders,AU,-34.5833,150.8552,50.05,79,0,1.99,clear sky,2023-06-10 17:12:52
Bethel,US,41.3712,-73.414,75.22,55,20,5.75,few clouds,2023-06-10 17:12:52
Talnakh,RU,69.4865,88.3972,38.21,63,3,5.61,clear sky,2023-06-10 17:12:53
Atuona,PF,-9.8,-139.0333,80.11,78,11,9.86,few clouds,2023-06-10 17:12:53
Avera,US,33.194,-82.5271,86.09,33,9,3.13,clear sky,2023-06-10 17:12:53
Mataura,NZ,-46.1927,168.8643,35.1,87,48,3.58,scattered clouds,2023-06-10 17:12:53
Tripoli,LY,32.8752,13.1875,77.95,59,93,28.32,overcast clouds,2023-06-10 17:12:53
Aromashevo,RU,56.8602,68.6375,53.28,72,9,7.18,clear sky,2023-06-10 17:12:53
Koppa,IN,13.5304,75.3633,71.71,87,98,4.74,overcast clouds,2023-06-10 17:12:53
Kavieng,PG,-2.5744,150.7967,81.21,78,84,7.09,broken clouds,2023-06-10 17:12:53
Saskylakh,RU,71.9167,114.0833,40.82,57,98,12.21,overcast clouds,2023-06-10 17:12:53
Punta Arenas,CL,-53.15,-70.9167,39.31,75,75,35.68,broken clouds,2023-06-10 17:12:14
Port Elizabeth,ZA,-33.918,25.5701,58.1,92,1,7.85,clear sky,2023-06-10 17:12:54
Kozhva,RU,65.1073,57.0459,37.99,96,100,6.35,light rain,2023-06-10 17:12:54
Kasungu,MW,-13.0333,33.4833,67.23,62,46,5.5,scattered clouds,2023-06-10 17:12:54
Bordighera,IT,43.7806,7.6645,76.33,93,79,13.0,broken clouds,2023-06-10 17:12:54
Nikolskoye,RU,59.7035,30.7861,57.09,42,1,4.38,clear sky,2023-06-10 17:12:54
Ereymentau,KZ,51.6199,73.1033,56.44,77,63,3.62,broken clouds,2023-06-10 17:12:54
Yellowknife,CA,62.456,-114.3525,54.12,76,100,11.5,smoke,2023-06-10 17:09:36
Am Timan,TD,11.0297,20.2827,85.95,55,64,2.91,broken clouds,2023-06-10 17:12:54
Ushuaia,AR,-54.8,-68.3,40.62,90,57,7.18,broken clouds,2023-06-10 17:09:37
Lodja,CD,-3.4833,23.4333,77.74,66,94,1.57,overcast clouds,2023-06-10 17:12:54
